,,nDCG,nDCL,nDCG,nDCL,nDCG,nDCL,nDCG,nDCL,nDCG,nDCL,nDCG,nDCL
,,BPRMF,BPRMF,WRMF,WRMF,SVD,SVD,CoFFee,CoFFee,mostpopular,mostpopular,random,random
fold,top-n,,,,,,,,,,,,
1,1,0.00145981342944,0.00555579462958,0.00599800800665,0.00835769381141,0.0101878756586,0.0075745885142,0.00757542013427,0.00933390598181,0.0164421314038,0.0118568739661,0.0,0.00188183394887
1,2,0.0032827270148,0.0133979645689,0.0111514259024,0.011820471974,0.0151992546614,0.0115575380077,0.0128840768829,0.0115930646514,0.0246018873316,0.0141559225272,0.000528398778984,0.0023634394165
1,3,0.00491510247739,0.0171644209887,0.0149949186103,0.0146144351549,0.0198197951112,0.0161166866726,0.0162620879365,0.0144141915834,0.0314533689204,0.0203115935375,0.00109854696258,0.00362555860775
1,5,0.00741987281156,0.0206347905424,0.0211329731296,0.021306552262,0.0267925559253,0.0247734837078,0.020013317663,0.0186287580039,0.0400701458439,0.0274083125414,0.00123111641082,0.00477949606356
1,10,0.0118883672338,0.0288880872142,0.0295247517232,0.0341194842918,0.0361411232859,0.0351887180231,0.0267740622769,0.0248887184539,0.0560025171928,0.0372703772841,0.00198836025795,0.00630984708027
1,15,0.0154008693586,0.0349584862536,0.0348084708171,0.0434978262722,0.042217100767,0.046713763762,0.0323000600472,0.0300130154596,0.0678242953477,0.045303757858,0.00259826622144,0.00722660708991
1,20,0.0174212393935,0.0410534746438,0.0401029545468,0.052921506821,0.0464336007178,0.0555242702869,0.0352774155252,0.0341164564269,0.0768353040174,0.0503320403111,0.00299979778718,0.00808646189262
1,30,0.0217389491342,0.0489460932519,0.0479547844101,0.0634137972367,0.0550609752847,0.0661627096118,0.0417708700606,0.0425939515946,0.0912165334721,0.0659625021973,0.0040043356755,0.00912618651969
1,50,0.0294523042493,0.0638038003604,0.0606525109511,0.0811725853079,0.0677224048383,0.0877385364115,0.0497681880662,0.0531233037097,0.109635552509,0.084199991722,0.00551431153369,0.0121267960049
1,70,0.0344949767148,0.0767415469687,0.0687996021446,0.0947232780616,0.0754353488266,0.104248022155,0.0560979001394,0.0611705789455,0.124016382981,0.099062568057,0.00685142678105,0.0152650135228
1,100,0.0412798213579,0.092802701375,0.0793910475931,0.113267672158,0.0854115597535,0.125572470328,0.0623110564164,0.0718097756425,0.137559177865,0.121182111767,0.00900453237761,0.0184123103493
2,1,0.00376098583725,0.00877827503378,0.00558545946306,0.00586068469808,0.00665717684837,0.00852133735608,0.00630295258898,0.00364345804965,0.0181066293308,0.0077015156804,0.000415609325149,0.0
2,2,0.00479850334164,0.0130079278052,0.0103851625338,0.0115185940943,0.014056308837,0.0133665110114,0.0113142921776,0.00671088330724,0.0251754484466,0.0136648791769,0.000415609325149,0.000897733523814
2,3,0.00586998569154,0.0144440543468,0.0153200723238,0.0139439010546,0.018333581079,0.0165754569667,0.014849948403,0.0124183078679,0.030821746133,0.0149294603063,0.000470211755029,0.000897733523814
2,5,0.00735775926918,0.0214710818315,0.0200638143236,0.0199458417299,0.0247472543264,0.0212770072577,0.0190779001175,0.0146793326661,0.0391733575933,0.0209554672374,0.000672050795463,0.00235736426808
2,10,0.011011348801,0.0308452295725,0.0282181712678,0.0291299045752,0.032989790369,0.0342064861329,0.0268133842571,0.0202797319057,0.0535945533345,0.0313850463405,0.00143806466409,0.00501750502702
2,15,0.013630515164,0.0371473259677,0.0334975701726,0.0393017963234,0.039333940155,0.0426575593703,0.0305032131219,0.0244436672194,0.0636193308501,0.0404613503082,0.00224586998237,0.0054294687189
2,20,0.0159801002733,0.0434764580882,0.0379055809446,0.0472533991512,0.0440867638289,0.050102601861,0.0347786775028,0.0293035374857,0.0712873721835,0.0475503285198,0.00271901903941,0.00617069703423
2,30,0.0216767077671,0.0551909475051,0.0449776528181,0.0574614675114,0.0520409739263,0.0631389701065,0.0401049823038,0.0359831295239,0.0853684407157,0.0593963715079,0.00325917176411,0.00706142198351
2,50,0.0293520742479,0.0701551579842,0.0556616801752,0.0762321495582,0.0630853800833,0.084030376032,0.0489251021051,0.0493930531164,0.103784935828,0.0759886450856,0.0048570823822,0.0126742188828
2,70,0.0346743303062,0.0809737344047,0.0639661139128,0.0902311664502,0.071376826308,0.100440209948,0.0556722852556,0.0575098379839,0.11512782349,0.0868473458503,0.00659843425132,0.016121937523
2,100,0.0424459677307,0.0967655775067,0.0742995810843,0.107281070105,0.0805675786248,0.12143908164,0.0624965796667,0.0673595410279,0.129181330553,0.105886896643,0.00882736407035,0.0223512835141
3,1,0.0030159520537,0.00645675969289,0.00659386816319,0.00653328342992,0.00776411391286,0.00891637954435,0.00720207962212,0.00318253985165,0.0126914804488,0.00717758686672,0.0,0.00120511936524
3,2,0.00542177567948,0.0115385189685,0.0111094149364,0.016396117468,0.0132551469781,0.0151386483378,0.0113524958202,0.00497791496882,0.0194100006417,0.0114015712856,0.000113092956322,0.00120511936524
3,3,0.00590751722699,0.0127392261973,0.0150703166297,0.0213827175287,0.0171598077545,0.0235679964776,0.0141533213006,0.00856976801983,0.0243642249887,0.0146307005788,0.000376824400924,0.00273565335546
3,5,0.00806306038268,0.0205198899822,0.0197315331977,0.0285155418001,0.0223987801867,0.0293711186945,0.0184944772667,0.0121830829883,0.031434010323,0.0228591931833,0.0010094195315,0.00348601972524
3,10,0.0122145892465,0.0258008038492,0.0292112606244,0.041420355468,0.0320123970419,0.0427787226833,0.0252816505982,0.0177599049486,0.0455077779959,0.0380022548791,0.00134726298312,0.00481427090579
3,15,0.0154332612504,0.0318300725259,0.0344675365955,0.0494346571439,0.0388589672895,0.0541753652672,0.0301024856608,0.0209248763541,0.0590105040523,0.0429769136429,0.00185423040039,0.00691347918003
3,20,0.0181219320239,0.0372589336446,0.0387516455172,0.0576997521344,0.0435079814467,0.0644481925985,0.0342661460798,0.0246823439601,0.0670262415672,0.0564829018735,0.00217999925105,0.00778880965857
3,30,0.0220547383791,0.0462133497749,0.0468718875448,0.0719221204955,0.0520111026773,0.0771955565227,0.0406997275465,0.0351402837493,0.0821154055787,0.0696428183284,0.00298448265037,0.0106665540914
3,50,0.0285680505254,0.0613970935706,0.0582254999127,0.0910336945615,0.0632124556807,0.0971056352002,0.0485352098049,0.0428554251581,0.100241032258,0.0904151009284,0.0049346402142,0.0131828786382
3,70,0.0342765150652,0.0730653745421,0.0654202362874,0.103716198042,0.0709338001294,0.113782768457,0.0544363717908,0.049284367396,0.114572196771,0.105777345599,0.00723774967323,0.0153720144589
3,100,0.0407106200674,0.0899986292029,0.0748737115816,0.119949339574,0.0800397126014,0.132624139646,0.0613897885208,0.0591319874919,0.129020760399,0.129151093407,0.009517319699,0.0181387738232
4,1,0.00291815929024,0.00502445936175,0.0104390397731,0.0036218086294,0.0110094262874,0.00453226217021,0.00824175799508,0.00322446489502,0.0161933464857,0.00574037721031,0.000167252713521,0.0
4,2,0.00398520535049,0.00885798377995,0.0144750576624,0.00725109683101,0.0165544591316,0.00764854639506,0.0132958570474,0.00623358058819,0.0229503726241,0.00746225384365,0.000167252713521,0.000332109479732
4,3,0.00501108674191,0.0107703294614,0.0174476682274,0.0103828593511,0.0195361037983,0.00965832940193,0.0157884233538,0.00852353947438,0.0291027306024,0.00911413855177,0.000361147519033,0.000332109479732
4,5,0.00638560918191,0.0140653178669,0.0222894522061,0.0145095470816,0.0249425614417,0.0131603314153,0.0200364443363,0.0100460290063,0.0353938857663,0.0131019153736,0.000946030864981,0.00102905998622
4,10,0.0101910720623,0.0234279491959,0.029543812776,0.0226089002605,0.0355963681075,0.0252826102083,0.0269770350109,0.0137069561638,0.0478347378749,0.0228054705088,0.00157535525271,0.00392050965328
4,15,0.0129894885065,0.0292057917366,0.0355241186574,0.0319524299863,0.0416145273759,0.0350782016334,0.0322842597832,0.0174153835674,0.0585839071572,0.02879677907,0.00197018926084,0.00607546021164
4,20,0.0149484008231,0.0339096044039,0.041116295813,0.0394087055937,0.0462891896702,0.0443443083523,0.0367503630518,0.0215557415814,0.0659936587237,0.0363226888149,0.0024508741788,0.00740392300933
4,30,0.0188788450769,0.041746395357,0.0484974954541,0.0524204912209,0.0537896984446,0.0561147299757,0.0420962499252,0.0267984340082,0.0812936857809,0.0497208768108,0.00351660026219,0.00900900333748
4,50,0.0253672576898,0.0564984167122,0.0585408234836,0.0663776577171,0.0651831059223,0.0742448548392,0.0508903857668,0.0388343243754,0.10040452388,0.0673912914344,0.00527823364244,0.0114013114683
4,70,0.0313969126662,0.0688379599761,0.0662204210342,0.0817124437647,0.0732128598252,0.0917114509279,0.0573065946336,0.0473145223592,0.112760677642,0.0781891838875,0.00662267253395,0.0142604927516
4,100,0.0389834104528,0.0857160748416,0.0755757032557,0.100042016037,0.082353807029,0.110684160841,0.0651118370527,0.0571509724734,0.128673608269,0.0949191469379,0.0083097248132,0.0177545180589
5,1,0.00184771712996,0.00949525331019,0.00717216506302,0.0142852891356,0.00864401474682,0.012988008535,0.00603462170253,0.00389851008479,0.0185905481036,0.0100447361781,0.000264062118522,0.0
5,2,0.003649334161,0.013823659813,0.0118847303263,0.0173394672327,0.013711891032,0.0170315449063,0.00939931071083,0.00621460700109,0.0253529176246,0.0145529092715,0.000438306013887,0.0
5,3,0.00529912208605,0.0167409702408,0.0150641476033,0.0205750367315,0.0183376374085,0.0201528318567,0.012268540664,0.00889033027984,0.030594935719,0.0205591215319,0.000521531282962,0.000845260879173
5,5,0.00705797403423,0.0216381091252,0.0210118314414,0.0268812748975,0.0250893820856,0.0281621462027,0.0165363283883,0.0111536068033,0.0374307784238,0.0399443995049,0.000840719363804,0.00110744125451
5,10,0.010519037569,0.0259901994674,0.0295528239548,0.0395360575958,0.0325819844458,0.0430014646645,0.0248120358038,0.019029485163,0.050956682699,0.0525129857334,0.00118600827105,0.00258978537823
5,15,0.0129472893031,0.033018499133,0.034310994658,0.048066319102,0.0384057556991,0.0498917029149,0.0298866834806,0.0269220459737,0.06443624217,0.0630711674992,0.00206331119458,0.00438089876259
5,20,0.0150117088406,0.0376670615417,0.0386116210039,0.0538402818137,0.0433160479559,0.0564109029202,0.0347972825236,0.0317676155595,0.0737742687201,0.0693695940804,0.00275654999576,0.00541962940439
5,30,0.0195332372112,0.0471188554603,0.0457533237269,0.0639624487909,0.0504323504462,0.0682830375451,0.0406121117403,0.038522718204,0.0903490415217,0.0859133240273,0.00376615933034,0.00759401767738
5,50,0.0252686441368,0.0578055066848,0.0568290779368,0.0845462499097,0.0609170674368,0.0890185125313,0.0488785068903,0.0474154455005,0.109798940312,0.104972854123,0.00532149208316,0.0105468575339
5,70,0.0305554437083,0.0677548426764,0.0643162171019,0.0974056324666,0.0684375101684,0.105760694029,0.055596828361,0.0558669332694,0.123389276879,0.121038160044,0.006776309095,0.0129415167941
5,100,0.038296180177,0.082886586316,0.0728860691097,0.114674593553,0.078165113436,0.125133431869,0.0628236653816,0.065085675471,0.13603381871,0.143607292949,0.00949944655297,0.017350165094
